"","h",".model","series",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"1",1,"arima","A11","Test",-0.178178788043653,1.35254858901942,1.05672369691248,-0.194421210325969,1.06131129937701,0.746016266393582,0.765296247591562,-0.204379059358775
"2",1,"arima","A12","Test",0.482816864799821,2.67371404208983,2.21443218815999,0.413296422995969,2.18104368484356,0.93661514677364,0.922646359964558,-0.136578031997334
"3",1,"arima","A13","Test",0.00489091895603089,2.13236137233525,1.70941871643558,-0.0434932717785769,1.71556777024776,0.83493421490622,0.824780713429811,0.0553843247639338
"4",1,"arima","A14","Test",-0.0938584449409333,2.00809471321103,1.64757709216588,-0.128011169803738,1.66685924287762,1.0414104820936,1.0230686345017,-0.0129537745461091
"5",1,"arima","A21","Test",-0.0357693495346727,1.52248530107909,1.23811942729868,-0.0560866150112616,1.23676931372741,0.799881697387965,0.805027025769106,-0.165127816496792
"6",1,"arima","A22","Test",0.127478146042821,2.42313808070572,1.87596594373609,0.0744361289229137,1.88403237544406,0.843140482879206,0.868701331655558,-0.103274375636922
"7",1,"arima","A23","Test",0.0360415852938594,1.78751129633361,1.45487334179527,0.0047956117906449,1.45562632387004,0.863905472392151,0.849107867158475,-0.0175779802137581
"8",1,"arima","A24","Test",0.252343530330775,2.02071602847305,1.55372471903249,0.217912020561696,1.54049143733841,0.894872674765583,0.936848422152535,-0.155062657923109
"9",1,"arima","A31","Test",-0.330122562982572,2.03659296327348,1.6486509701272,-0.365010252198268,1.67061336104477,0.918765764119895,0.90928811268303,-0.170078646418078
"10",1,"arima","A32","Test",-0.286454941133175,2.02357013568721,1.69632140860765,-0.325771187310817,1.70070298637587,1.04903862009633,1.00481584133376,-0.117267712180939
"11",1,"arima","A33","Test",0.120156160399531,2.18628795403512,1.76885028005647,0.083296536456429,1.7827961868177,1.06136456230929,1.03493397827904,-0.190836937761822
"12",1,"arima","A34","Test",-0.27530710584225,2.35483401584077,2.0466347527157,-0.328844151642891,2.05077024432039,0.912751989016843,0.86139232958744,-0.0310611009249753
"13",1,"arima","A41","Test",-0.0889623386798892,1.86527944655736,1.53045852184161,-0.123237413930776,1.53919238919294,1.04898396883215,0.992084518370771,-0.104382729669177
"14",1,"arima","A42","Test",-0.294338061146187,2.53407616507167,1.89985164580131,-0.358681337020687,1.94602547787946,1.05386751007383,1.07961613459439,0.071513347820578
"15",1,"arima","A43","Test",-0.0979454095787421,2.15877603990911,1.76525793306285,-0.145739051114561,1.77030105890504,1.04235002826094,0.990282033669054,0.159160788605727
"16",1,"arima","A44","Test",-0.295970005309945,2.48174351410699,2.12078419882093,-0.353702473104162,2.13132241031111,0.98279457463873,0.924204669858367,0.0618478259080948
"17",1,"arima","B1","Test",0.0499362876948382,5.26810915105602,4.11953781563692,-0.00320546081575383,1.02801239160153,0.834775554470368,0.872676397416927,-0.220162495335601
"18",1,"arima","B2","Test",0.294851619542973,6.66839499773361,5.21603229071677,0.0506987135844688,1.30466362205408,0.885277201699285,0.899425804329122,-0.16809516197784
"19",1,"arima","B3","Test",-1.2851431204848,7.14201635891315,6.13301414274083,-0.350127099676384,1.54255006364956,0.989024675907082,0.926136688772414,-0.179120900511648
"20",1,"arima","B4","Test",-0.852530311259559,7.87320568408604,6.31326011080811,-0.253457248146851,1.59347559048434,1.07704370551012,1.03728754961543,0.0719532113080643
