"","h",".model","series",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"20",1,"arima","A42","Test",0.265920303475582,2.4474078605416,1.96899772825745,0.206496452503271,1.94334676491531,0.934112553772715,0.957980512159756,0.234898717929297
"21",1,"arima","A43","Test",0.480921323307384,2.31221265347044,1.7798616161115,0.432466018414468,1.75529524298738,0.871322296490777,0.920683231675546,-0.207060768782432
"22",1,"arima","A44","Test",-0.07451766934627,2.0834918040388,1.72665861311988,-0.120420612367108,1.74559419303598,0.93866070479406,0.919920769404012,-0.00847919867885732
"23",1,"arima","A45","Test",0.207441329257714,2.66724521354842,2.1002047099068,0.145038867819495,2.07067256364704,0.831053101918746,0.870949905556797,-0.064121726602541
"24",1,"arima","A46","Test",0.0728492523834298,1.99131890875551,1.56906143795211,0.0472630343083696,1.53141816382127,0.991920304240357,0.97673366183981,-0.277994062369581
"25",1,"arima","A51","Test",0.133976938325247,1.41893385231704,1.12669235852449,0.114699179165992,1.12775529740721,0.793071926698281,0.779859700586024,-0.0182329487945353
"26",1,"arima","A52","Test",0.0298674743291585,2.16839470273959,1.75869258182249,-0.0161487934814623,1.76946738186118,0.935533640065243,0.925990099388805,-0.0456004314865132
"27",1,"arima","A53","Test",-0.0854763690315675,2.7447576380299,2.34158661327371,-0.14666849896892,2.36827471992656,0.930477179085313,0.893912855907912,-0.246246886424493
"28",1,"arima","A54","Test",0.311840071156805,2.11875147673803,1.64790878895206,0.269483873432289,1.62172262196223,0.867529195492598,0.895316013804372,-0.0571376031667589
"29",1,"arima","A55","Test",-0.103360584152675,2.75233240979537,2.20438553945096,-0.17037928197777,2.18585156140998,0.942117602409116,0.936735856444542,0.0400653732341158
"30",1,"arima","A56","Test",0.355721772492546,2.40888271504307,1.96835732082371,0.296671202810772,1.94753577363488,1.05257485825958,1.01381521425119,-0.0788325236255635
"31",1,"arima","A61","Test",0.345255169848868,2.16972750538648,1.79015336468519,0.298172603601336,1.77485470874272,0.751286923455872,0.735546688284961,-0.0429184609472096
"32",1,"arima","A62","Test",0.566595621831383,2.2352635935941,1.82478117866195,0.519634192121295,1.81883100262401,0.804034918488247,0.794120421365011,0.317669603411175
"33",1,"arima","A63","Test",-0.41432554967815,1.88418100617533,1.53997265360637,-0.443966634357964,1.55281109380637,0.926675840698092,0.922722033103197,-0.229467035597771
"34",1,"arima","A64","Test",-0.294219864922005,2.85055930179639,2.37968593745856,-0.372221839480419,2.39170030602012,0.942385740810047,0.920011711170135,-0.0965283872902314
"35",1,"arima","A65","Test",-0.541714332805258,2.60318921201566,2.11381792773327,-0.60587114845292,2.17513170394694,1.03143061950069,1.02461863339068,-0.423014801945412
"36",1,"arima","A66","Test",0.137331479315347,1.20266802147309,0.967643513259561,0.123526472109586,0.968945467743456,0.720354220669355,0.698690337685951,0.154207283161387
"37",1,"arima","B1","Test",-0.926502462345954,5.42181944964725,4.49652457525987,-0.161933596201401,0.751359081302073,0.983087825035263,0.949615303754205,-0.0552943030436087
"38",1,"arima","B2","Test",-0.489940660662913,4.60131314009355,3.75000780937105,-0.0860109849548014,0.623442673805397,0.957784002632348,0.902869332916712,0.0128128085751202
"39",1,"arima","B3","Test",-1.04948324534555,3.21381825351912,2.46809060991263,-0.17829573941797,0.41437106467337,0.741269058456715,0.78400386338012,-0.0106182054577371
"40",1,"arima","B4","Test",0.09576031736554,3.32291842182451,2.57363245207902,0.0138172192005732,0.425636502090474,0.696697893642024,0.727634892496729,-0.282802064903862
"41",1,"arima","B5","Test",0.916192702508704,3.57459169466418,2.77877247451246,0.149670454257059,0.460903067792739,0.737405702380054,0.758819005042601,-0.196817413863281
"42",1,"arima","B6","Test",-1.16967508549661,6.27641138001087,5.02250725004119,-0.205327948730524,0.842616800407064,0.822446610677812,0.857453990176334,-0.123133687255322
"43",1,"arima","C1","Test",-0.543190469290118,10.3609526865842,7.75453241309839,-0.0157388531057819,0.215442579573321,0.634161419535788,0.693124178419788,-0.109607704539886
"44",1,"mint_novelist","A11","Test",0.448952842173473,2.6838212923787,2.11786532149557,0.376967522576817,2.0884130188176,0.991712273414651,0.984167514049382,-0.0200471762566489
"45",1,"mint_novelist","A12","Test",-0.383076965135415,2.1852618459934,1.81314510376588,-0.424833357768317,1.83211421323933,0.910477598167106,0.889420907888191,-0.0658554118036485
"46",1,"mint_novelist","A13","Test",-0.315720676582943,1.56049293426068,1.30899413024875,-0.346456630021004,1.36190522274084,0.994827170033717,0.957314434302679,0.0352714030112227
"47",1,"mint_novelist","A14","Test",-0.0124209942351783,1.76977882749576,1.45230456414284,-0.0425691683431077,1.43627912314121,1.01117713675277,1.00004336637719,0.0470562618773924
"48",1,"mint_novelist","A15","Test",-0.182404583351701,2.51472943433862,1.97409378388137,-0.240241415048359,1.95734614695309,1.08697349983857,1.10030601583781,0.041076236076977
"49",1,"mint_novelist","A16","Test",-0.0983775169825311,1.63863384159651,1.33800952455634,-0.125948772248152,1.34319712174411,0.823060790979902,0.819488424199008,0.100960948898357
"50",1,"mint_novelist","A21","Test",0.112440542745718,1.97282082992016,1.61041678314384,0.0791805613259013,1.59679940300541,0.95929347289163,0.950464249548356,-0.0438380616876501
"51",1,"mint_novelist","A22","Test",0.201933465964403,2.61931952427637,2.12316110171542,0.148150721417352,2.05829196258806,0.933865047324327,0.948574719826456,-0.375183561347372
"52",1,"mint_novelist","A23","Test",-0.0942102378576365,2.85115704996088,2.32283781209562,-0.153097044918876,2.37468765542379,1.01910776048873,0.984060703578576,-0.113372599958163
"53",1,"mint_novelist","A24","Test",0.0912522895409882,2.41484948364031,2.00932526450445,0.0373568487210726,2.01197624524087,1.12098233069393,1.06605488409809,0.232559718759611
"54",1,"mint_novelist","A25","Test",-0.613407580372158,2.27814524998806,1.87421677985484,-0.678456439443125,1.97353056179738,1.14817146039076,1.1076119607283,0.168140743730373
"55",1,"mint_novelist","A26","Test",0.507039690905015,2.60832402588349,1.98733893164102,0.435202202531575,1.90297622551342,0.872629993454163,0.890175102167982,-0.0866307831210767
"56",1,"mint_novelist","A31","Test",-0.45359420397445,1.68946597402566,1.38893038077505,-0.483841373278445,1.41164260859047,0.730103751851477,0.702993406505784,0.169958697888562
"57",1,"mint_novelist","A32","Test",-0.180675128883134,1.61949297142846,1.25720630400106,-0.206113132186394,1.26335795850348,0.815272711037426,0.82609069181925,0.00878792229319075
"58",1,"mint_novelist","A33","Test",-0.193137662120749,2.01274524063207,1.56491759644766,-0.237140658058624,1.57506755760694,1.04604124143311,1.04729452572037,0.0562224163437557
"59",1,"mint_novelist","A34","Test",0.44283543077432,1.82076544875576,1.53464930111939,0.409281191126751,1.52462534799187,0.872652719956641,0.832154377371908,0.0860131574541656
"60",1,"mint_novelist","A35","Test",-0.198715573063362,1.80775921939704,1.41515883621991,-0.230002920720978,1.4273178791917,0.87217218577296,0.861965681252345,-0.146004643301995
"61",1,"mint_novelist","A36","Test",-0.321292067490154,2.16524601414497,1.75930766164772,-0.367333802862276,1.79187329083111,0.889830678898549,0.87762404204773,-0.217427090748397
